SN,District,Municipality,Ward Number,Town/Village Name,Tole,Latitude,Longitude,Source Name,Source Type,Ownership,Surrounding Environment (Landuse),Plant Species around Water Source,Source Condition,Perennial / Seasonal,Dried since how many years?,Reason of drying,"After this source dried up , was there any activity for revival done in this source?",List the activities done for source revival,What was done after source was dried up?,Source Condition,Nature of discharge,Water emergence point,"Volume of bucket /bottle (1, 2, 5, 10 or 20 litre)",Time to fill (seconds),Approx. distance from the nearest dependent household (metre),One-way water fetching time (minutes),How much time did it take to fill the Jar of 20 liter before 10 yr? (minutes),Current time to fill 20 liter jar (minutes),Trend of spring discharge,Pond area (square metre),Pond depth (metre),Pond area 10 years earlier (square metre),Pond depth10 years earlier (metre),Perception on source water quality,Perception on source water quality change,Is this source in use?,Purpose of use,No. of households dependent on this source,Ethnicity of users,No. of households dependent on this source only,Ethnicity of users dependent on this source only,Any impact due to 2015 earthquake?,Is this source tapped?,Supplied to same Municipality or different?,Supplied to same ward or different wards?,Is water source significant for cultural/religious purpose?,List the events associated with sources,Is this source accessible to everyone in community? (in term of use access),If not who are restricted?,Are there water user groups for management?,User group type,Who is the chairperson?,Women in leadership position,Any spring revival / pond protection measures taken?,What measures have been taken?,Remarks (source specific comment)
2878,Kavrepalanchowk,Temal,6,Temal,Kharbari tol,27.5255703666667,85.7610090166666,dovan sim,spring,public,agriculture,Banmara Uniu,active,perennial,,,,,,tap,flowing,soil/sediment,1,30,120,4,10,10,same,,,,,good,no_change,yes,drinking,10,Janajati,4,Janajati,no_change,no,,,no,,yes,,no,,,,no,,
2879,Kavrepalanchowk,Temal,6,Temal,Kharbari tol,27.526317,85.7619860333333,Simdhara,spring,private,settlement,lakure aap banmara,active,perennial,,,,,,tap,flowing,soil/sediment,1,60,1,1,10,20,decreasing,,,,,good,no_change,yes,"drinking,agriculture,household",1,Janajati,1,Janajati,Degraded,no,,,no,,yes,,no,,,,no,,
2880,Kavrepalanchowk,Temal,6,Temal,Kharbari tol,27.5243489166667,85.7613184,Dargari,spring,public,agriculture,Sisnu banmara timali,active,perennial,,,,,,tap,flowing,soil/sediment,1,120,150,3,10,40,decreasing,,,,,good,no_change,yes,drinking,3,Janajati,3,Janajati,Degraded,yes,same,same,no,,yes,,no,,,,no,,
2881,Kavrepalanchowk,Temal,6,Temal,Magar tol,27.5220608166667,85.7636346833333,Ghising sim,pond,private,sparse_forest,Sirees sisnu banmara,dried,perennial,2072,Earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2882,Kavrepalanchowk,Temal,6,pakuwal,Pakuwal,27.5051096265905,85.7814412685633,okhar bot ko mul,spring,public,dense_forest,"Lakuri,utis,kutmero",active,perennial,,,,,,closed_kuwa,seepage,interface between rock and sediment,1,30,300,40,2,10,decreasing,,,,,good,improved,yes,"drinking,livestock,household",150,"Janajati,Dalit",150,Janajati,Degraded,yes,same,same,no,,yes,,no,,,,yes,recharge_pond_construction,Dhungale chopeko le picture sano vako x 
2883,Kavrepalanchowk,Temal,9,mukpa,chaap tol,27.4599633333333,85.8013666666667,bhalu kuwa,spring,private,sparse_forest,"dhayaro,sisnu,khayar",dried,perennial,2072,Earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2884,Kavrepalanchowk,Temal,6,Pakuwal,Pakuwal,27.5036624849064,85.7751151897989,hajare padhera,spring,public,dense_forest,"Tite ,timali,jalma",active,perennial,,,,,,cemented_tank,seepage,soil/sediment,1,40,300,60,2,13,decreasing,,,,,good,improved,yes,"drinking,household",40,Janajati,20,Janajati,Degraded,yes,same,same,no,,yes,,no,,,,no,,
2885,Kavrepalanchowk,Temal,9,mukpa,chaap tol,27.442769,85.8155031,khulla kuwa,spring,private,sparse_forest,"karkalo,khayar,ghaas",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,60,300,20,1,20,decreasing,,,,,good,degraded,yes,"drinking,household,livestock",1,Janajati,1,Janajati,Degraded,yes,same,same,no,,yes,,no,,,,no,,sudhar garnu parne
2886,Kavrepalanchowk,Temal,6,Rakse village,Rakse tool,27.5122351842636,85.7694970172186,Rakse dhara,spring,public,agriculture,"Jai,jalma,tite",dried,perennial,2072,Earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2887,Kavrepalanchowk,Temal,9,mukpa,chaap tol,27.460625,85.8021633333333,base kuwa,spring,private,sparse_forest,"banmara,bas,khayar",dried,seasonal,2070,Drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888,Kavrepalanchowk,Temal,1,aadhabat,mijar tol,27.573795,85.6933033333333,sarki padera,spring,community,grassland,"salla,simal,muskhari",dried,perennial,2055,Drought,no,,"rainwater_harvesting,new_source_identification",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889,Kavrepalanchowk,Temal,6,Ghongar ,Ghongar tool,27.5131534096021,85.7698023927198,Ghongar tool ko mul,spring,private,dense_forest,"Payu,tite ,siris,fadim",active,perennial,,,,,,open_kuwa,seepage,rock,1,15,350,20,1,5,decreasing,,,,,excellent,no_change,yes,"drinking,household,livestock",3,Janajati,3,Janajati,Degraded,yes,same,same,no,,yes,,no,,,,no,,
2890,Kavrepalanchowk,Temal,9,mukpa,chaap tol,27.442769,85.8155031,jamuna kuwa,spring,private,sparse_forest,"jamuna,kaade banmara,khayar",active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,30,500,30,5,10,decreasing,,,,,good,no_change,yes,"drinking,household,livestock",1,Janajati,1,Janajati,Degraded,yes,same,same,no,,yes,,no,,,,no,,sudhar ko avasyak
2891,Kavrepalanchowk,Temal,6,Ghongar,Ghongar tool,27.5131703986707,85.7698554040624,Ghongar simsar,spring,private,dense_forest,"Fadim,tite churi",active,perennial,,,,,,open_kuwa,seepage,rock,1,20,350,40,1,7,decreasing,,,,,excellent,no_change,yes,"drinking,household,livestock",3,Janajati,3,Janajati,Degraded,yes,same,same,no,,yes,,no,,,,no,,
2892,Kavrepalanchowk,Temal,7,Chapakhori,Kalo pani,27.5063866666667,85.7639366666667,Kalo pani inar,spring,public,dense_forest,"Utis,payau,parsho",active,perennial,,,,,,open_kuwa,flowing,soil/sediment,20,20,100,7,1,1,same,,,,,poor,no_change,yes,livestock,7,"BCTS,Janajati",5,BCTS,no_change,no,,,no,,yes,,no,,,,no,,Yo 100 parsha puranu
2893,Kavrepalanchowk,Temal,4,maure banjyang,gonpo thola,27.5307777,85.73662871,kulalathola kuwa,spring,private,agriculture,"dudilo,aalaiche,bahsa",active,seasonal,,,,,,open_kuwa,seepage,interface between rock and sediment,1,30,130,12,10,10,same,,,,,good,no_change,yes,"drinking,household,livestock",4,Janajati,0,,no_change,no,,,no,,yes,,yes,,,,yes,"plantation,source_protection",
2894,Kavrepalanchowk,Temal,9,mukpa,chaap tol,27.461115,85.8029883333333,khayar kuwa,spring,private,sparse_forest,"khayar,karkalu,simali",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,60,350,25,3,20,decreasing,,,,,good,no_change,yes,"drinking,household,livestock",5,Janajati,5,Janajati,Degraded,yes,same,same,no,,yes,,no,,,,no,,kihi xaina
2895,Kavrepalanchowk,Temal,6,ghongar,Maji tool,27.5147420475867,85.7716967280265,Maji toll simsar,spring,public,sparse_forest,"Siris,tite fadim",dried,perennial,2072,Earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2896,Kavrepalanchowk,Temal,7,Chaap dado,Padhero pakha,27.5108066666667,85.762795,Padhero pakha,spring,community,dense_forest,"Uthis,masainu,salla",dried,perennial,2070,Drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2897,Kavrepalanchowk,Temal,1,aadhabat,newar tol,27.570755,85.6957783333333,sano padhera,spring,community,grassland,"sittha,muskhari,banmara",dried,perennial,2062,Drought,no,,"new_source_identification,rainwater_harvesting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2898,Kavrepalanchowk,Temal,1,aadhabat,newar tol,27.5699416666667,85.696045,gahiri kuwa,spring,community,sparse_forest,"paniaamala,gangaro,paiyou",dried,seasonal,2075,Drought,no,,"new_source_identification,rainwater_harvesting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2899,Kavrepalanchowk,Temal,1,sarsyukhark,badal tol,27.569205,85.7015633333333,Sisnoghari,spring,community,sparse_forest,"Sisno,banmara,kotmero",active,perennial,,,,,,open_kuwa,flowing,soil/sediment,1,140,175,8,50,47,increasing,,,,,excellent,improved,no,,,,,,Improved,no,,,yes,Panchami nuhauni,yes,,no,,,,no,,
2900,Kavrepalanchowk,Temal,1,Sarsyukhark,Badal tol,27.5690783333333,85.701605,Siran ko padhero,spring,community,dense_forest,"Utis,katus,sisno",active,perennial,,,,,,stone_spout,seepage,interface between rock and sediment,1,600,150,5,10,200,decreasing,,,,,good,degraded,no,,,,,,Degraded,no,,,no,,yes,,no,,,,no,,
2901,Kavrepalanchowk,Temal,1,khanigau,jhetmukhy tol,27.5722716666667,85.705295,chaprukha padera,spring,community,sparse_forest,"pipal,bar,sisno",active,perennial,,,,,,stone_spout,seepage,interface between rock and sediment,1,180,500,10,20,60,decreasing,,,,,excellent,improved,yes,"drinking,livestock,household",17,Janajati,13,Janajati,Degraded,no,,,yes,"dikuro uthaune,panchami nuhauni",yes,,no,,,,no,,
2902,Kavrepalanchowk,Temal,1,khanigau,jethamukhay tol,27.5723916666667,85.7055866666667,chaprukha sano padhera,spring,community,grassland,"chilauni,banmara,utis",dried,perennial,2072,Earthquake,no,,"tanker_dependence,water_lifting,new_source_identification",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2903,Kavrepalanchowk,Temal,1,khanigau,jethmukhay tol,27.5724716666667,85.7053333333333,barko rukha pokhari,pond,community,grassland,"bar,sisno,banmara",dried,perennial,2072,Earthquake,no,,"tanker_dependence,water_lifting,new_source_identification",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2904,Kavrepalanchowk,Temal,7,Pandey gaira,Tin ghare tole,27.50323,85.7581316666667,Tin ghare tole mul,spring,public,agriculture,"Amala,junar,naspati",dried,seasonal,2068,Drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2905,Kavrepalanchowk,Temal,1,khanigau,mahilo mukhay tol,27.5751766666667,85.7078566666667,pokhari pani padhero,spring,community,sparse_forest,"fadel,chiuri,jamuna",active,perennial,,,,,,open_kuwa,flowing,soil/sediment,1,180,500,15,40,60,decreasing,,,,,good,degraded,no,,,,,,Degraded,no,,,no,,yes,,no,,,,no,,
2906,Kavrepalanchowk,Temal,5,Pokhari,Gupti,27.527655120939,85.7341355737299,gupti dhara ,spring,private,sparse_forest,"Farsa, utis, bas",active,perennial,,,,,,stone_spout,flowing,rock,1,16,1000,25,5,5,same,,,,,good,improved,yes,"drinking,religious_purpose,household",38,Janajati,38,Janajati,no_change,no,,,yes,kul puja ,yes,,no,,,,yes,recharge_pond_construction,
2907,Kavrepalanchowk,Temal,1,khanigau,pahira ghare,27.5702583333333,85.7085566666667,chipdhara,spring,community,sparse_forest,"jamuna,banmara,tuni",active,perennial,,,,,,cemented_tank,flowing,rock,1,90,300,10,3,30,decreasing,,,,,excellent,improved,yes,"drinking,household,livestock",25,Janajati,25,Janajati,Degraded,yes,same,same,yes,"dhikuro thapne,panchami nuhaune",yes,,no,,,,no,,
2908,Kavrepalanchowk,Temal,7,Pandey gaira,Kavrako bot,27.5076266109549,85.7594346586158,Kavrako bot mul,spring,public,sparse_forest,"Farsho,nikgalo,lakuri",active,perennial,,,,,,cemented_tank,seepage,soil/sediment,1,60,100,5,2,20,decreasing,,,,,good,improved,no,,,,,,Degraded,no,,,no,,yes,,no,,,,no,,
2909,Kavrepalanchowk,Temal,7,Pandey gaira,Saune ,27.5049766666667,85.7600533333333,Saune ko mul,pond,public,sparse_forest,"Bas,kutmero,kafal",dried,perennial,2075,Earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2910,Kavrepalanchowk,Temal,1,Saryunkharka ,Badal tole ,27.56942,85.701445,tallo padhero,spring,community,sparse_forest,"utis, banmara, lakuri",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,5,180,300,10,3,12,decreasing,,,,,excellent,degraded,yes,"drinking,household,religious_purpose",15,BCTS,7,BCTS,Degraded,yes,same,same,yes,Dhikuro thapne,yes,,no,,,,no,,
2911,Kavrepalanchowk,Temal,1,Sarsyunkharka,Badal dada ,27.56929,85.7014083333333,Majhako padhero ,spring,community,sparse_forest,"Banmara,utis,kutmero",active,perennial,,,,,,open_kuwa,flowing,soil/sediment,1,120,200,7,15,40,decreasing,,,,,good,improved,yes,"household,livestock,drinking",15,Mixed,2,BCTS,Improved,no,,,yes,"dhikuro thapne, panchami nuhaune ",yes,,no,,,,no,,
2912,Kavrepalanchowk,Temal,1,Sarsyunkharka ,Baskota tole ,27.5635016666667,85.7082166666667,Baskotatole padhero ,spring,community,sparse_forest,"Banmara, aiselu, pithauli",active,perennial,,,,,,tap,flowing,interface between rock and sediment,5,600,600,15,4,40,decreasing,,,,,good,degraded,yes,"drinking,household,livestock",15,BCTS,5,BCTS,Degraded,yes,same,same,yes,Dhikuro uthaune ,yes,,no,,,,no,,
2913,Kavrepalanchowk,Temal,1,Saryunkharka ,Baskotatole,27.5634366666667,85.7080833333333,Saryunkharka padhero,spring,community,sparse_forest,"Uniu, banmara,sisnu",active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,600,600,15,3,200,decreasing,,,,,good,degraded,no,,,,,,Degraded,no,,,no,,yes,,no,,,,no,,Yo paniko muhan sukepachhi yahaka basindale khane paniko lagi dherai kastha behornu pareko chha yadi yaha pani bhaidieko bhaye lifting garera nikai talako mahango paniko prayogma lyaunu naparne thiyo sabaiko yo muhan samudayakai nikai mahatwapurna muhan 
2914,Kavrepalanchowk,Temal,1,Sarsyunkharka,Padhera ,27.56389,85.708575,Padhera pokhari ,pond,public,sparse_forest,"bahar, pipal, banmara",dried,seasonal,2060,source_neglected,no,,"water_lifting,rainwater_harvesting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2915,Kavrepalanchowk,Temal,5,Pokhari,Gupti,27.5251730298623,85.7357941009104,Gupti kuwa,spring,private,sparse_forest,"Utis, payau, timila",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,120,500,15,10,40,decreasing,,,,,good,improved,yes,"agriculture,livestock,household",25,Janajati,15,Janajati,Degraded,no,,,yes,kul puja ,yes,,no,,,,yes,recharge_pond_construction,
2916,Kavrepalanchowk,Temal,7,Thulo dhulghunga,Thapalle khoriya,27.5061356262302,85.7586059111464,Thapalle khoriya ko mul,spring,community,agriculture,"Kafal,paiyau,hadebayar",dried,perennial,2075,Earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2917,Kavrepalanchowk,Temal,4,maure banjyang,gonpo thola,27.53149286,85.76040366,kaleri ko pokhari,pond,community,agriculture,"dudilo,pipal,simal",active,seasonal,,,,,,,,,,,,,,,,50,1,50,1,poor,degraded,no,,,,,,,no,,,no,,no,sorota ko,yes,,,,yes,"plantation,source_protection",
2918,Kavrepalanchowk,Temal,9,Pulughatar,Chegrin,27.4656866666667,85.7904016666667,Rithe padhero,spring,private,sparse_forest,"Khira,ghotli,pithauli",dried,seasonal,2072,Earthquake,no,0,"new_source_identification,rainwater_harvesting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2919,Kavrepalanchowk,Temal,9,Pulughatar,Chegran,27.4656816666667,85.79065,juipani khola,spring,private,sparse_forest,"Seml,salla,rithe",active,perennial,,,,,,cemented_tank,seepage,interface between rock and sediment,2,120,500,40,20,40,decreasing,,,,,good,improved,yes,"drinking,livestock,household",19,Janajati,0,,Degraded,no,,,yes,Budhapuja,yes,,no,,,,no,,
2920,Kavrepalanchowk,Temal,4,maure banjyang,gonpo thola,27.53406187,85.76028347,buldeko kuwa,spring,community,sparse_forest,"sisani,dudilo banmar",active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,35,170,25,3,10,decreasing,,,,,poor,degraded,no,,,,,,Degraded,no,,,no,,no,paniko,yes,,,,no,,
2921,Kavrepalanchowk,Temal,6,Ghongar,Maji tool,27.5159768594787,85.7718233256758,Tar phakha,spring,private,sparse_forest,"Jalma , salla ,timali",dried,perennial,2065,Drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2922,Kavrepalanchowk,Temal,6,Temal,Magar tol,27.5221392666667,85.7630893166667,rampati kholca,spring,public,sparse_forest,banmara sisnu amala,active,perennial,,,,,,closed_kuwa,seepage,soil/sediment,1,120,150,3,10,40,decreasing,,,,,good,no_change,yes,"drinking,household,agriculture",2,Janajati,2,Janajati,Degraded,yes,same,same,no,,yes,,no,,,,yes,trench-pit,
2923,Kavrepalanchowk,Temal,6,Temal ,Rana tol,27.5219337666667,85.76335855,Rana dhara,spring,public,sparse_forest,Banmara sisnu bass,active,perennial,,,,,,tap,flowing,soil/sediment,1,60,190,4,7,20,decreasing,,,,,good,no_change,yes,"drinking,household,agriculture,livestock",5,Janajati,5,Janajati,Degraded,yes,same,same,no,,yes,,no,,,,no,,
2924,Kavrepalanchowk,Temal,6,Temal,Ghising tol,27.52131155,85.7639654,Chilauni dada,spring,private,grassland,Utees  sirees amala,dried,perennial,2072,Earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2925,Kavrepalanchowk,Temal,6,Temal,Ghising tol,27.5204705666667,85.7642417166667,Rampati khola,spring,public,sparse_forest,Sisnu banmara sirees,active,perennial,,,,,,open_kuwa,seepage,rock,1,120,550,20,10,40,decreasing,,,,,good,no_change,yes,"drinking,household,agriculture",3,Janajati,3,Janajati,Degraded,yes,same,same,no,,yes,,no,,,,no,,
2926,Kavrepalanchowk,Temal,6,Maji tool,Maji tool,27.5133744386286,85.7712299269465,Padhera khola,spring,public,sparse_forest,"Jalma,kutmera,bas",active,perennial,,,,,,stone_spout,seepage,soil/sediment,1,120,200,10,2,40,decreasing,,,,,excellent,no_change,no,,,,,,Degraded,no,,,no,,yes,,no,,,,no,,
2927,Kavrepalanchowk,Temal,9,Pulughattar,Tar,27.475885,85.7899066666667,Simko padharo,spring,community,sparse_forest,"Jamuna,uedis",active,perennial,,,,,,cemented_tank,seepage,interface between rock and sediment,1,60,400,20,10,20,decreasing,,,,,good,improved,yes,"drinking,household,livestock",17,Janajati,0,,Degraded,yes,same,same,yes,Kulpuja,yes,,no,,,,no,,
2928,Kavrepalanchowk,Temal,5,Pokhari ,Gupti,27.5204005418345,85.7367961574346,Tunti kuwa,spring,public,sparse_forest,Utis,active,perennial,,,,,,closed_kuwa,seepage,rock,1,60,50,2,5,20,decreasing,,,,,good,improved,yes,"household,agriculture,drinking",25,Janajati,25,Janajati,Degraded,no,,,yes,kul puja,yes,,no,,,,yes,source_protection,
2929,Kavrepalanchowk,Temal,6,Ghongar,Ghongar tool,27.5132981271541,85.7709410887374,Ghongar  dhunge dhara,spring,public,sparse_forest,"Churi,bas,tite",dried,perennial,2072,Earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2930,Kavrepalanchowk,Temal,1,khanigau,jethamukhy tol,27.5697116666667,85.7075166666666,kattusko bot padhero,spring,community,sparse_forest,"kattus,mauwa,uniu",dried,perennial,2068,Drought,no,,"water_lifting,new_source_identification",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2931,Kavrepalanchowk,Temal,1,sarsyukhark,tapaliya tol,27.5675533333333,85.706995,kattusko bot padhera,spring,community,dense_forest,"kattus,utis,mauwa",dried,perennial,2073,Earthquake,no,,"water_lifting,new_source_identification",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2932,Kavrepalanchowk,Temal,1,sarsyukhark,tapaliya tol,27.56712,85.70617,jambuko bot ko padhero,spring,community,grassland,"jambu,banmara,paniaamala",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,400,200,5,60,133,decreasing,,,,,poor,degraded,yes,"livestock,religious_purpose,household",21,"BCTS,Dalit",0,,Degraded,no,,,yes,panchami nuhauni,yes,,no,,,,no,,
2933,Kavrepalanchowk,Temal,1,sarsyukhark,tapaliya tol,27.5671133333333,85.7062366666667,jambuko bot padhero,spring,community,grassland,"jambu,banmara paniaamala",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,400,200,5,60,133,decreasing,,,,,poor,degraded,yes,"livestock,religious_purpose,household",21,"BCTS,Dalit",0,,Degraded,no,,,yes,panchami nuhauni,yes,,no,,,,no,,
2934,Kavrepalanchowk,Temal,1,sarsyukhark,tapaliya tol,27.5670383333333,85.706195,kaidalko bot padhero,spring,community,grassland,"kaidal,utis,jamuna",dried,perennial,2065,Drought,yes,trench-pit,"new_source_identification,water_lifting,rainwater_harvesting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2935,Kavrepalanchowk,Temal,9,Pulughat tar,Tar,27.475765,85.790285,Glyndhanga dhara,spring,private,agriculture,"Gasa,banmara,nighalo",dried,seasonal,2072,Earthquake,no,0,"new_source_identification,well",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2936,Kavrepalanchowk,Temal,9,Pulughat tar,Tar,27.4754016666667,85.7901366666667,Batomuniko kuwa,spring,community,sparse_forest,"Jamuna,chuthuro,banmara",active,seasonal,,,,,,open_kuwa,seepage,rock,2,120,500,20,20,40,decreasing,,,,,good,improved,yes,"household,livestock,drinking",17,Janajati,0,,Degraded,no,,,no,,yes,,no,,,,no,,
2937,Kavrepalanchowk,Temal,6,Bibire khola,Bibire khola,27.5328976771534,85.7148588687411,bibire khola mul -c,spring,private,dense_forest,"Bas, machhaino,paheli",active,perennial,,,,,,open_kuwa,seepage,rock,1,180,800,60,1,60,decreasing,,,,,excellent,no_change,yes,"drinking,household,livestock",12,Janajati,12,Janajati,Degraded,yes,same,same,no,,yes,,no,,,,no,,
2938,Kavrepalanchowk,Temal,7,Chapakhori,Kallo pani,27.5071833333333,85.761575, kallo pani pokhari,pond,private,agriculture,"Kera,bacha,chilaune",active,perennial,,,,,,,,,,,,,,,,40,2,40,2,good,improved,yes,"livestock,recreation,agriculture",3,BCTS,2,BCTS,,yes,same,same,no,,yes,,no,,,,yes,recharge_pond_construction,Yes bata sichai garna thulo kam diyako chha
2939,Kavrepalanchowk,Temal,6,Bibire ,Bibire tool,27.5074168771794,85.7706506458046,Bibire khola mul-b,spring,private,dense_forest,"Utis, khirla, bas",active,perennial,,,,,,open_kuwa,seepage,rock,1,240,900,70,1,80,decreasing,,,,,excellent,no_change,yes,"drinking,household,livestock,agriculture",12,Janajati,12,Janajati,Degraded,yes,same,same,no,,yes,,no,,,,no,,
2940,Kavrepalanchowk,Temal,6,Bibire khola,Bibire tool,27.5070784697877,85.7711537256131,chiso pani kalimati mul,spring,private,dense_forest,"Jamuna, tite,kamle",active,perennial,,,,,,open_kuwa,seepage,rock,1,60,900,90,1,20,decreasing,,,,,excellent,no_change,yes,"drinking,household,agriculture,livestock",1,BCTS,1,BCTS,Degraded,yes,same,same,no,,yes,,no,,,,no,,
2941,Kavrepalanchowk,Temal,6,Bibire - a,Bibire tool,27.5077977181933,85.770796685917,Bibire-a mul,spring,public,sparse_forest,"Paheli,pitholi,khirla",dried,perennial,2072,Earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2942,Kavrepalanchowk,Temal,4,Mahure,Pindong dhaadha,27.5287254666667,85.74398125,Yauta kuwa,spring,public,agriculture,"Lapsi,chuttra,banmara",active,perennial,,,,,,closed_kuwa,seepage,interface between rock and sediment,1,30,40,8,5,10,decreasing,,,,,good,no_change,yes,"drinking,household,livestock",20,"Newar,Janajati,Dalit",0,,Degraded,no,,,no,,yes,,no,,,,no,,
2943,Kavrepalanchowk,Temal,4,Mahure,Pindong dhaaadha,27.5286140666667,85.7449412166667,Sangkuling kuwa,spring,public,fallow,"Chuttra,banmara,aiisolu",active,perennial,,,,,,closed_kuwa,seepage,soil/sediment,1,20,50,10,7,7,same,,,,,good,no_change,yes,"drinking,household,livestock",25,"Newar,Janajati,Dalit",0,,no_change,no,,,no,,yes,,no,,,,no,,
2944,Kavrepalanchowk,Temal,4,Mahure,Sinkulinga ,27.5284445333333,85.7447686166667,Sangkuling tallo kuwa ,spring,public,agriculture,"Baas,sallo,payauu",active,perennial,,,,,,closed_kuwa,seepage,soil/sediment,1,20,52,11,7,7,same,,,,,good,no_change,yes,"drinking,household,livestock",25,"Newar,Janajati,Dalit",0,,no_change,no,,,no,,yes,,no,,,,no,,
2945,Kavrepalanchowk,Temal,4,Mahure,Wati tole,27.5294553,85.7486239333333,Mahure thulo kuwa,spring,public,fallow,"Timila,balxini,baas",dried,perennial,2072,Earthquake,yes,source_protection,"new_source_identification,rainwater_harvesting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2946,Kavrepalanchowk,Temal,4,Mahure,Saura cheya,27.5290680166667,85.7502987333333,Saura kuwa,spring,private,agriculture,"Timila,banmara bass",active,perennial,,,,,,closed_kuwa,seepage,soil/sediment,1,60,20,2,8,20,decreasing,,,,,good,no_change,yes,"drinking,livestock,household,agriculture",2,"Newar,Janajati",0,,Degraded,no,,,no,,yes,,no,,,,no,,
2947,Kavrepalanchowk,Temal,4,Mahure,Kangswan,27.5288283333333,85.7534493,Kangswan kuwa,spring,public,agriculture,"Banmara,baas,ninggalo",dried,perennial,2060,Drought,no,,"new_source_identification,rainwater_harvesting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2948,Kavrepalanchowk,Temal,4,Mahure,Lakkhuri ,27.5284110166667,85.7513834666667,Lakkhuri kuwa,spring,private,agriculture,"Banmara,payauu aamal",dried,perennial,2065,source_neglected,no,,"new_source_identification,rainwater_harvesting,well",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2949,Kavrepalanchowk,Temal,4,Mahure,Jomja,27.5275878333333,85.7523472833333,Jomja kuwa,spring,private,agriculture,"Banmara,kera,kurro",active,perennial,,,,,,closed_kuwa,seepage,interface between rock and sediment,1,30,100,15,5,10,decreasing,,,,,good,no_change,yes,"drinking,household,livestock,agriculture",10,Janajati,0,,Degraded,no,,,no,,yes,,no,,,,no,,
2950,Kavrepalanchowk,Temal,1,Sarsyunkharka ,Khani gau,27.56945,85.7064716666667,Khanigau padhera ,spring,community,others,"Sisno, Banmara, utis",dried,perennial,2060,Drought,no,,"new_source_identification,rainwater_harvesting,water_lifting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2951,Kavrepalanchowk,Temal,1,Sarsyunkharka ,Sahutole,27.5684933333333,85.7077283333333,Sahutol pahero,spring,community,sparse_forest,"Sisnu, paiyu, uniu",dried,seasonal,2056,natural_disaster,no,,"new_source_identification,rainwater_harvesting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
